step,gene,auc_mean,auc_std,auc_test,rank
1,ENSG00000166428,0.756480562904174,0.11574933294704264,0.6577350859453993,1
2,ENSG00000142856,0.8093327454438566,0.08120140600927636,0.7248483316481295,2
3,ENSG00000033170,0.8308476631393298,0.09172078434360179,0.7230788675429727,3
4,ENSG00000115170,0.8553865373309817,0.0753709279917709,0.7464610717896866,4
5,ENSG00000136247,0.8713403880070547,0.07848451463412581,0.7804600606673407,5
6,ENSG00000186314,0.8861790858318634,0.08347529724401195,0.7647876643073812,6
7,ENSG00000137216,0.896957671957672,0.07374943295282375,0.7592264914054601,7
8,ENSG00000170323,0.9150297619047618,0.061336598025669924,0.7569514661274014,8
9,ENSG00000205593,0.9231646825396826,0.04881160052176397,0.7671890798786654,9
10,ENSG00000279928,0.928913139329806,0.039359251235566946,0.7769211324570272,10
11,ENSG00000233822,0.9387786596119929,0.032461776570482576,0.7987866531850354,11
12,ENSG00000186470,0.943288874191652,0.030727420666661488,0.7977755308392316,12
