Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Alcoholism,2/186,0.0053401288138885,0.0696729326015523,0,0,21.526086956521738,112.63536847635238,H2BC15;MAOB
KEGG_2021_Human,Phenylalanine metabolism,1/17,0.0101551258956082,0.0696729326015523,0,0,113.47727272727272,520.8353408254836,MAOB
KEGG_2021_Human,Other glycan degradation,1/18,0.0107495345067081,0.0696729326015523,0,0,106.79679144385028,484.0984098875249,FUCA2
KEGG_2021_Human,Histidine metabolism,1/22,0.0131238993688258,0.0696729326015523,0,0,86.43722943722943,374.560203730456,MAOB
KEGG_2021_Human,Tyrosine metabolism,1/36,0.0213931062881188,0.0696729326015523,0,0,51.82597402597403,199.25462501506232,MAOB
KEGG_2021_Human,Various types of N-glycan biosynthesis,1/39,0.0231567959712164,0.0696729326015523,0,0,47.72727272727273,179.71546945510647,FUT8
KEGG_2021_Human,"Glycine, serine and threonine metabolism",1/40,0.023744044790362,0.0696729326015523,0,0,46.5011655011655,173.93405340895535,MAOB
KEGG_2021_Human,Tryptophan metabolism,1/42,0.0249175717978689,0.0696729326015523,0,0,44.22838137472284,163.29923491461832,MAOB
KEGG_2021_Human,Ether lipid metabolism,1/49,0.0290147415071519,0.0696729326015523,0,0,37.76515151515152,133.68679532449664,PLD4
KEGG_2021_Human,Cocaine addiction,1/49,0.0290147415071519,0.0696729326015523,0,0,37.76515151515152,133.68679532449664,MAOB
KEGG_2021_Human,Arginine and proline metabolism,1/50,0.029598761568907,0.0696729326015523,0,0,36.99257884972171,130.2147194065139,MAOB
KEGG_2021_Human,N-Glycan biosynthesis,1/50,0.029598761568907,0.0696729326015523,0,0,36.99257884972171,130.2147194065139,FUT8
KEGG_2021_Human,Glycosaminoglycan biosynthesis,1/53,0.0313488904458292,0.0696729326015523,0,0,34.85314685314685,120.68168393395273,FUT8
KEGG_2021_Human,Regulation of lipolysis in adipocytes,1/55,0.0325140352140577,0.0696729326015523,0,0,33.55892255892256,114.97566851206538,FABP4
KEGG_2021_Human,Amphetamine addiction,1/69,0.0406341472797855,0.081268294559571,0,0,26.63101604278075,85.30304582535365,MAOB
KEGG_2021_Human,PPAR signaling pathway,1/74,0.0435190145295109,0.081598152242833,0,0,24.80074719800747,77.73936369017362,FABP4
KEGG_2021_Human,TGF-beta signaling pathway,1/94,0.0549791450637696,0.0954266864386614,0,0,19.44770283479961,56.41392256593172,ACVR1
KEGG_2021_Human,Glycerophospholipid metabolism,1/98,0.0572560118631968,0.0954266864386614,0,0,18.64198687910028,53.32023276493544,PLD4
KEGG_2021_Human,Drug metabolism,1/108,0.062926197022156,0.0986243265111908,0,0,16.89124893797791,46.71769326233609,MAOB
KEGG_2021_Human,Serotonergic synapse,1/113,0.0657495510074605,0.0986243265111908,0,0,16.133116883116884,43.91277015622912,MAOB
KEGG_2021_Human,Lysosome,1/128,0.0741728939593788,0.0990318818974191,0,0,14.216893342877595,36.98320799361847,FUCA2
KEGG_2021_Human,Dopaminergic synapse,1/132,0.0764073307843028,0.0990318818974191,0,0,13.78001387925052,35.437739719643616,MAOB
KEGG_2021_Human,Systemic lupus erythematosus,1/135,0.0780799132018378,0.0990318818974191,0,0,13.469470827679784,34.34745298046681,H2BC15
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.0803057041431777,0.0990318818974191,0,0,13.076416337285902,32.97760560549118,ACVR1
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1/143,0.0825265682478493,0.0990318818974191,0,0,12.70550576184379,31.69559934227498,ACVR1
KEGG_2021_Human,Neutrophil extracellular trap formation,1/189,0.107715579413401,0.1214845679651144,0,0,9.574468085106384,21.33441430499087,H2BC15
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.1093361111686029,0.1214845679651144,0,0,9.42265587815326,20.855433296054045,FUT8
KEGG_2021_Human,Viral carcinogenesis,1/203,0.1152550067458689,0.1234875072277167,0,0,8.904590459045904,19.239330767812493,H2BC15
KEGG_2021_Human,Parkinson disease,1/249,0.1396181714887919,0.144432591195302,0,0,7.236070381231672,14.24669323894371,MAOB
KEGG_2021_Human,Cytokine-cytokine receptor interaction,1/295,0.1633649404103601,0.1633649404103601,0,0,6.089672232529376,11.033077437892617,ACVR1
