gene,enet_freq,enet_mean_abs_coef,glm_coef,rank
ENSG00000033170,0.99,0.22175855254367946,0.8364146984590832,1
ENSG00000189308,0.99,0.21511282968920944,-0.5793423291694594,2
ENSG00000137216,0.98,0.20179267457486652,0.6820234547344756,3
ENSG00000177868,0.97,0.1995316222822968,0.37727597955629943,4
ENSG00000170323,0.96,0.1987255481421073,0.7038188858538051,5
ENSG00000142856,0.98,0.18613144579561108,-0.6602017183586579,6
ENSG00000169877,0.95,0.17009553558392662,0.33592211648452747,7
ENSG00000160145,0.97,0.1575251285314033,-0.4816723947655375,8
ENSG00000204613,0.93,0.15436682025136253,-0.28218275815804594,9
ENSG00000171067,0.94,0.14704432832307493,-0.5546696616817132,10
ENSG00000069535,0.93,0.1459879933658491,0.8501890119625549,11
ENSG00000167110,0.94,0.14288854714571905,0.1697611012895563,12
__intercept__,,,-0.7955038075436731,0
