rank,gene,n_iter_seen,freq,mean_abs_coef,score
1,ENSG00000123570,9,0.9,0.4104297962346481,0.3693868166111833
2,ENSG00000130202,10,1.0,0.23684219553672245,0.23684219553672245
3,ENSG00000205593,10,1.0,0.23166884866181547,0.23166884866181547
4,ENSG00000137216,10,1.0,0.21163646452266702,0.21163646452266702
5,ENSG00000186314,10,1.0,0.18661670751098852,0.18661670751098852
6,ENSG00000222032,10,1.0,0.16672783195674562,0.16672783195674562
7,ENSG00000118407,10,1.0,0.15615273843715877,0.15615273843715877
8,ENSG00000112077,9,0.9,0.1611259062458311,0.14501331562124797
9,ENSG00000158874,10,1.0,0.14124051003823507,0.14124051003823507
10,ENSG00000114115,10,1.0,0.12664356857934456,0.12664356857934456
11,ENSG00000226777,10,1.0,0.12639830267720703,0.12639830267720703
12,ENSG00000164292,10,1.0,0.11712303408361764,0.11712303408361764
13,ENSG00000069535,10,1.0,0.1165934867225348,0.1165934867225348
14,ENSG00000102225,10,1.0,0.11591597275342873,0.11591597275342873
15,ENSG00000230417,10,1.0,0.11149761611701073,0.11149761611701073
16,ENSG00000033170,6,0.6,0.16940282752056102,0.10164169651233661
17,ENSG00000163631,10,1.0,0.09038545915272277,0.09038545915272277
18,ENSG00000242808,8,0.8,0.09387032646507434,0.07509626117205948
19,ENSG00000164692,7,0.7,0.10669247408230693,0.07468473185761484
20,ENSG00000250361,8,0.8,0.07692564655004694,0.061540517240037555
21,ENSG00000103202,9,0.9,0.06488996284073083,0.058400966556657746
22,ENSG00000138162,5,0.5,0.11231820964227879,0.056159104821139394
23,ENSG00000129038,2,0.2,0.28025389948431484,0.05605077989686297
24,ENSG00000164100,9,0.9,0.05873784395576869,0.05286405956019182
25,ENSG00000084734,8,0.8,0.05559385881562867,0.04447508705250294
26,ENSG00000175063,6,0.6,0.06303878504284495,0.03782327102570697
27,ENSG00000184343,3,0.3,0.11563535304418689,0.03469060591325607
28,ENSG00000145936,6,0.6,0.05560663373285089,0.03336398023971053
29,ENSG00000142459,3,0.3,0.0944174281424122,0.02832522844272366
30,ENSG00000177868,5,0.5,0.05479867889965713,0.027399339449828565
31,ENSG00000287882,4,0.4,0.06700056559543455,0.02680022623817382
32,ENSG00000229390,2,0.2,0.12693998514518884,0.025387997029037768
33,ENSG00000168309,2,0.2,0.11482192843813019,0.02296438568762604
34,ENSG00000136247,4,0.4,0.05426427992400297,0.02170571196960119
35,ENSG00000125868,6,0.6,0.03413252040428827,0.02047951224257296
36,ENSG00000198805,3,0.3,0.06310143935491583,0.01893043180647475
37,ENSG00000211445,5,0.5,0.03743430442044542,0.01871715221022271
38,ENSG00000169877,5,0.5,0.03709962809354638,0.01854981404677319
39,ENSG00000105402,4,0.4,0.0437830628818631,0.01751322515274524
40,ENSG00000186470,3,0.3,0.05292642128587597,0.01587792638576279
41,ENSG00000237181,3,0.3,0.05270142965351751,0.015810428896055252
42,ENSG00000204072,3,0.3,0.04985332843898029,0.014955998531694086
43,ENSG00000250722,3,0.3,0.04695203250975002,0.014085609752925004
44,ENSG00000247157,1,0.1,0.13138127904215438,0.013138127904215438
45,ENSG00000147647,3,0.3,0.04341828331804482,0.013025484995413446
46,ENSG00000073712,2,0.2,0.0640602385304783,0.012812047706095661
47,ENSG00000188130,4,0.4,0.031788182494043575,0.012715272997617431
48,ENSG00000274383,3,0.3,0.041414861561692856,0.012424458468507857
49,ENSG00000288025,3,0.3,0.033279749957023826,0.009983924987107148
50,ENSG00000196834,4,0.4,0.024749234894086196,0.00989969395763448
51,ENSG00000241553,2,0.2,0.04911686452396355,0.00982337290479271
52,ENSG00000102781,3,0.3,0.031755128923558494,0.009526538677067547
53,ENSG00000163072,2,0.2,0.04546309631688353,0.009092619263376706
54,ENSG00000016490,1,0.1,0.08883103225771506,0.008883103225771507
55,ENSG00000103175,2,0.2,0.04055003729820225,0.008110007459640451
56,ENSG00000262402,1,0.1,0.07453742143105116,0.0074537421431051165
57,ENSG00000163586,2,0.2,0.036558732152715476,0.007311746430543095
58,ENSG00000204632,1,0.1,0.06491442945016532,0.006491442945016532
59,ENSG00000142089,1,0.1,0.06451475243150571,0.006451475243150572
60,ENSG00000227674,1,0.1,0.05597445669261572,0.005597445669261573
61,ENSG00000257252,2,0.2,0.027663200938324105,0.005532640187664821
62,ENSG00000172757,2,0.2,0.026393848290674257,0.005278769658134851
63,ENSG00000111640,2,0.2,0.02598557951005533,0.005197115902011066
64,ENSG00000117477,1,0.1,0.04567526345971078,0.004567526345971078
65,ENSG00000167110,3,0.3,0.013898145877267004,0.004169443763180101
66,ENSG00000157150,1,0.1,0.038186485550773155,0.0038186485550773157
67,ENSG00000149243,1,0.1,0.03655370568881195,0.0036553705688811954
68,ENSG00000198938,1,0.1,0.02830307385370755,0.002830307385370755
69,ENSG00000130429,1,0.1,0.024716657041325658,0.002471665704132566
70,ENSG00000165091,2,0.2,0.011985685004332348,0.00239713700086647
71,ENSG00000100568,2,0.2,0.010845314483263214,0.002169062896652643
72,ENSG00000115318,2,0.2,0.010210257940710354,0.0020420515881420707
73,ENSG00000168765,1,0.1,0.013777953665640923,0.0013777953665640925
74,ENSG00000183722,1,0.1,0.009958173736536466,0.0009958173736536466
75,ENSG00000198840,1,0.1,0.009598376532962175,0.0009598376532962175
76,ENSG00000282863,1,0.1,0.0063917871960648505,0.0006391787196064851
77,ENSG00000198892,1,0.1,0.0011050143115733267,0.00011050143115733267
