model,n_reductors,combo,cv_auc,cv_auc_std,test_auc
LogReg,0,const_only,0.8194518716577539,0.06922040776397445,0.8660262891809909
LogReg,1,MeanExpr,0.815842245989305,0.0659262575131857,0.8729777553083923
LogReg,1,Log2FC,0.8275802139037433,0.04245646016174134,0.8822042467138523
LogReg,1,AnovaFdr,0.8339438502673795,0.06527471276556061,0.8718402426693629
LogReg,1,WGV,0.8503609625668449,0.049732341799576585,0.903437815975733
LogReg,2,MeanExpr+Log2FC,0.8275802139037433,0.04245646016174134,0.8822042467138523
LogReg,2,MeanExpr+AnovaFdr,0.8295989304812835,0.05509015862147769,0.8691860465116279
LogReg,2,MeanExpr+WGV,0.8568315508021392,0.04418687851038628,0.9023003033367039
LogReg,2,Log2FC+AnovaFdr,0.8302139037433156,0.03836054007219754,0.8795500505561172
LogReg,2,Log2FC+WGV,0.7711898395721926,0.0753544473661212,0.8413801820020222
LogReg,2,AnovaFdr+WGV,0.7776604278074867,0.036285630442474716,0.7553083923154702
LogReg,3,MeanExpr+Log2FC+AnovaFdr,0.8302139037433156,0.03836054007219754,0.8795500505561172
LogReg,3,MeanExpr+Log2FC+WGV,0.7711898395721926,0.0753544473661212,0.8413801820020222
LogReg,3,MeanExpr+AnovaFdr+WGV,0.6920855614973261,0.07130098213241517,0.7608695652173912
LogReg,3,Log2FC+AnovaFdr+WGV,0.7478475935828877,0.06484214601540232,0.8410010111223458
LogReg,4,MeanExpr+Log2FC+AnovaFdr+WGV,0.7478475935828877,0.06484214601540232,0.8410010111223458
