fdr_alpha,min_r2,cv_pct,n_corrected,r2_age_after,delta_vs_before
0.2,0.0,1000.0,12088,0.3291787368894802,0.03346591444245606
0.2,0.01,1000.0,12088,0.3291787368894802,0.03346591444245606
0.2,0.0,100.0,11833,0.3366907897613144,0.040977967314290265
0.2,0.01,100.0,11833,0.3366907897613144,0.040977967314290265
0.2,0.0,30.0,2403,0.4654639553940074,0.1697511329469833
0.2,0.01,30.0,2403,0.4654639553940074,0.1697511329469833
0.05,0.0,30.0,2403,0.4654639553940074,0.1697511329469833
0.2,0.05,30.0,2403,0.4654639553940074,0.1697511329469833
0.05,0.01,30.0,2403,0.4654639553940074,0.1697511329469833
0.05,0.05,30.0,2403,0.4654639553940074,0.1697511329469833
0.2,0.05,100.0,8182,0.517270074188896,0.2215572517418719
0.2,0.05,1000.0,8182,0.517270074188896,0.2215572517418719
0.05,0.05,100.0,8131,0.5202615951450551,0.22454877269803097
0.05,0.05,1000.0,8131,0.5202615951450551,0.22454877269803097
0.05,0.0,100.0,8751,0.5210544386890475,0.22534161624202342
0.05,0.0,1000.0,8751,0.5210544386890475,0.22534161624202342
0.05,0.01,1000.0,8751,0.5210544386890475,0.22534161624202342
0.05,0.01,100.0,8751,0.5210544386890475,0.22534161624202342
